"Gender"	"Q01"	"Q02"	"Q03"	"Q04"	"Q05"	"Q06"	"Q07"	"Q08"	"Q09"	"Q10"	"Q11"	"Q12"	"Q13"	"Q14"	"Q15"	"Q16"	"Q17"	"Q18"	"Q19"	"Q20"	"cQ01"	"cQ02"	"cQ03"	"cQ04"	"cQ05"	"cQ06"	"cQ07"	"cQ08"	"cQ09"	"cQ10"	"cQ11"	"cQ12"	"cQ13"	"cQ14"	"cQ15"	"cQ16"	"cQ17"	"cQ18"	"cQ19"	"cQ20"
1	"1"	"2"	"4"	"4"	"2"	"1"	"2"	"1"	"3"	"2"	"3"	"1"	"4"	"4"	"4"	"2"	"2"	"1"	"1"	"1"	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0
1	"4"	"2"	"3"	"2"	"1"	"1"	"3"	"1"	"4"	"2"	"2"	"4"	"2"	"3"	"4"	"4"	"1"	"2"	"1"	"1"	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0
1	"3"	"2"	"3"	"2"	"3"	"3"	"2"	"2"	"4"	"2"	"3"	"2"	"4"	"3"	"2"	"4"	"4"	"1"	"1"	"1"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
2	"3"	"4"	"4"	"2"	"3"	"2"	"4"	"1"	"3"	"2"	"2"	"4"	"4"	"2"	"3"	"3"	"2"	"2"	"4"	"1"	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0
2	"3"	"4"	"3"	"3"	"3"	"1"	"4"	"1"	"4"	"2"	"2"	"3"	"2"	"4"	"1"	"2"	"1"	"2"	"2"	"1"	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0
1	"1"	"2"	"2"	"2"	"3"	"4"	"3"	"2"	"3"	"2"	"1"	"4"	"2"	"4"	"1"	"3"	"2"	"4"	"1"	"2"	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1
1	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"4"	"2"	"2"	"2"	"3"	"2"	"2"	"2"	"1"	"1"	"1"	"3"	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
1	"1"	"2"	"3"	"1"	"2"	"1"	"3"	"1"	"4"	"4"	"3"	"4"	"2"	"3"	"1"	"3"	"1"	"3"	"2"	"1"	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0
1	"3"	"4"	"3"	"3"	"1"	"3"	"3"	"2"	"1"	"2"	"1"	"3"	"3"	"4"	"1"	"3"	"2"	"1"	"3"	"1"	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
2	"3"	"4"	"3"	"2"	"3"	"3"	"4"	"2"	"3"	"4"	"2"	"1"	"2"	"2"	"3"	"3"	"3"	"2"	"1"	"1"	0	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
2	"3"	"4"	"3"	"3"	"3"	"3"	"2"	"1"	"4"	"2"	"1"	"1"	"4"	"4"	"1"	"3"	"1"	"2"	"4"	"1"	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0
2	"2"	"4"	"3"	"3"	"2"	"1"	"2"	"1"	"4"	"4"	"3"	"2"	"2"	"4"	"2"	"3"	"2"	"2"	"2"	"1"	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0
2	"3"	"4"	"3"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"3"	"2"	"4"	"2"	"1"	"3"	"4"	"2"	"1"	"1"	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	0
1	"3"	"1"	"2"	"2"	"1"	"3"	"3"	"2"	"2"	"2"	"2"	"1"	"2"	"3"	"4"	"3"	"4"	"3"	"4"	"3"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
2	"3"	"2"	"2"	"2"	"2"	"1"	"3"	"2"	"2"	"4"	"2"	"4"	"2"	"1"	"1"	"4"	"4"	"1"	"4"	"1"	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0
1	"3"	"4"	"2"	"3"	"2"	"2"	"3"	"2"	"4"	"2"	"1"	"4"	"2"	"3"	"1"	"2"	"2"	"1"	"2"	"1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2	"1"	"2"	"4"	"1"	"2"	"1"	"3"	"1"	"4"	"2"	"3"	"4"	"2"	"2"	"3"	"3"	"1"	"2"	"4"	"1"	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0
2	"4"	"4"	"3"	"2"	"2"	"1"	"3"	"1"	"1"	"4"	"2"	"3"	"2"	"4"	"3"	"2"	"4"	"3"	"1"	"1"	0	1	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0
1	"3"	"2"	"4"	"3"	"2"	"1"	"3"	"1"	"3"	"2"	"2"	"1"	"4"	"1"	"1"	"4"	"1"	"1"	"2"	"2"	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	1
1	"3"	"2"	"3"	"3"	"1"	"2"	"3"	"2"	"4"	"4"	"3"	"1"	"2"	"4"	"2"	"1"	"2"	"1"	"2"	"3"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
1	"3"	"4"	"3"	"3"	"4"	"3"	"4"	"2"	"3"	"2"	"4"	"2"	"3"	"3"	"2"	"3"	"2"	"3"	"4"	"1"	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
1	"2"	"1"	"3"	"2"	"1"	"2"	"2"	"2"	"3"	"2"	"1"	"2"	"2"	"3"	"3"	"3"	"2"	"2"	"3"	"1"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
1	"3"	"2"	"3"	"3"	"2"	"1"	"2"	"1"	"4"	"2"	"1"	"4"	"1"	"4"	"3"	"3"	"1"	"2"	"1"	"3"	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0
1	"3"	"2"	"1"	"3"	"3"	"3"	"3"	"2"	"4"	"2"	"2"	"4"	"4"	"3"	"3"	"1"	"1"	"3"	"1"	"3"	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
2	"2"	"2"	"3"	"2"	"1"	"4"	"2"	"2"	"4"	"2"	"2"	"2"	"2"	"3"	"1"	"3"	"2"	"2"	"2"	"1"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
1	"3"	"2"	"1"	"2"	"2"	"3"	"2"	"1"	"4"	"2"	"2"	"3"	"1"	"4"	"3"	"3"	"1"	"2"	"3"	"1"	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0
1	"3"	"2"	"3"	"1"	"2"	"1"	"3"	"1"	"4"	"2"	"2"	"4"	"2"	"4"	"1"	"4"	"1"	"1"	"4"	"1"	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	0
1	"2"	"2"	"3"	"3"	"1"	"1"	"3"	"2"	"4"	"2"	"3"	"4"	"2"	"3"	"3"	"2"	"1"	"2"	"4"	"1"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
1	"3"	"2"	"3"	"2"	"2"	"1"	"2"	"1"	"4"	"4"	"3"	"4"	"2"	"4"	"1"	"2"	"2"	"2"	"3"	"1"	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0
2	"3"	"4"	"3"	"4"	"3"	"1"	"3"	"1"	"1"	"2"	"3"	"4"	"2"	"4"	"1"	"3"	"3"	"2"	"4"	"1"	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0
1	"3"	"2"	"3"	"4"	"2"	"3"	"2"	"1"	"4"	"4"	"1"	"1"	"4"	"4"	"3"	"3"	"2"	"2"	"2"	"1"	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0
1	"3"	"2"	"3"	"1"	"4"	"3"	"3"	"2"	"4"	"2"	"2"	"4"	"2"	"4"	"3"	"2"	"3"	"1"	"4"	"1"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
1	"3"	"4"	"3"	"3"	"3"	"1"	"2"	"2"	"3"	"2"	"2"	"4"	"2"	"4"	"3"	"1"	"3"	"4"	"4"	"3"	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0
2	"1"	"2"	"3"	"2"	"3"	"1"	"3"	"1"	"4"	"2"	"3"	"4"	"1"	"3"	"2"	"3"	"2"	"3"	"1"	"1"	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2	"3"	"2"	"3"	"2"	"2"	"1"	"2"	"1"	"1"	"4"	"2"	"4"	"2"	"1"	"3"	"3"	"1"	"4"	"1"	"1"	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
1	"2"	"2"	"3"	"3"	"1"	"4"	"2"	"2"	"3"	"2"	"3"	"2"	"3"	"3"	"2"	"3"	"2"	"3"	"2"	"3"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	"1"	"2"	"3"	"1"	"1"	"2"	"2"	"2"	"4"	"2"	"3"	"2"	"3"	"2"	"2"	"2"	"2"	"3"	"1"	"3"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"3"	"2"	"3"	"1"	"3"	"3"	"3"	"2"	"4"	"2"	"2"	"1"	"2"	"3"	"1"	"1"	"1"	"4"	"2"	"1"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
1	"3"	"2"	"3"	"1"	"3"	"3"	"3"	"1"	"4"	"2"	"2"	"1"	"2"	"3"	"1"	"3"	"1"	"4"	"2"	"1"	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
2	"1"	"2"	"3"	"1"	"2"	"1"	"3"	"2"	"3"	"2"	"1"	"4"	"4"	"3"	"3"	"1"	"1"	"2"	"1"	"1"	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
1	"1"	"2"	"3"	"3"	"2"	"1"	"3"	"2"	"1"	"4"	"2"	"4"	"4"	"3"	"3"	"4"	"4"	"3"	"4"	"2"	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1
1	"2"	"2"	"2"	"2"	"3"	"1"	"2"	"2"	"4"	"2"	"3"	"4"	"3"	"1"	"1"	"3"	"2"	"2"	"3"	"1"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
1	"3"	"2"	"2"	"3"	"2"	"2"	"2"	"1"	"3"	"2"	"1"	"2"	"1"	"4"	"2"	"3"	"2"	"1"	"3"	"2"	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1
2	"3"	"4"	"3"	"2"	"2"	"2"	"3"	"2"	"3"	"2"	"1"	"2"	"2"	"3"	"3"	"2"	"2"	"3"	"2"	"2"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
1	"3"	"2"	"3"	"1"	"1"	"1"	"3"	"2"	"4"	"2"	"2"	"2"	"3"	"3"	"3"	"2"	"3"	"1"	"1"	"2"	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
2	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"4"	"2"	"1"	"2"	"2"	"3"	"1"	"1"	"1"	"1"	"1"	"1"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
2	"3"	"2"	"3"	"2"	"3"	"1"	"1"	"1"	"4"	"2"	"2"	"3"	"2"	"4"	"1"	"3"	"2"	"2"	"2"	"2"	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	1	0	1
1	"3"	"2"	"1"	"4"	"2"	"4"	"2"	"2"	"4"	"2"	"3"	"1"	"2"	"3"	"3"	"2"	"3"	"3"	"2"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"3"	"2"	"3"	"2"	"1"	"3"	"2"	"2"	"2"	"2"	"1"	"4"	"3"	"2"	"3"	"2"	"3"	"1"	"1"	"1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"3"	"2"	"4"	"2"	"1"	"3"	"3"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"4"	"2"	"2"	"3"	"1"	"3"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	"1"	"2"	"3"	"1"	"1"	"3"	"3"	"1"	"2"	"2"	"3"	"4"	"2"	"3"	"3"	"2"	"1"	"2"	"3"	"1"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
2	"4"	"2"	"4"	"2"	"3"	"1"	"3"	"1"	"4"	"2"	"2"	"1"	"3"	"4"	"1"	"3"	"3"	"2"	"4"	"1"	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0
2	"2"	"2"	"3"	"2"	"3"	"2"	"1"	"2"	"4"	"2"	"2"	"1"	"3"	"3"	"1"	"2"	"3"	"1"	"1"	"1"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
2	"4"	"2"	"3"	"1"	"3"	"1"	"2"	"2"	"4"	"4"	"3"	"4"	"2"	"3"	"2"	"3"	"1"	"2"	"1"	"2"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1
1	"3"	"2"	"2"	"3"	"1"	"1"	"2"	"2"	"4"	"2"	"3"	"4"	"4"	"3"	"4"	"3"	"4"	"4"	"2"	"1"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
1	"2"	"3"	"3"	"2"	"2"	"1"	"2"	"2"	"3"	"2"	"1"	"4"	"3"	"2"	"3"	"3"	"3"	"2"	"2"	"1"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
2	"3"	"4"	"3"	"3"	"1"	"3"	"4"	"1"	"2"	"4"	"3"	"2"	"3"	"1"	"3"	"2"	"1"	"2"	"4"	"1"	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0
1	"1"	"4"	"4"	"2"	"3"	"1"	"4"	"1"	"4"	"4"	"2"	"3"	"4"	"4"	"1"	"4"	"4"	"4"	"4"	"2"	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
1	"3"	"2"	"3"	"2"	"2"	"1"	"2"	"1"	"4"	"2"	"1"	"4"	"2"	"4"	"1"	"1"	"2"	"1"	"3"	"1"	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0
1	"2"	"2"	"3"	"2"	"1"	"4"	"2"	"2"	"1"	"1"	"3"	"3"	"4"	"1"	"3"	"2"	"2"	"2"	"3"	"1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
1	"2"	"2"	"3"	"1"	"3"	"3"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"3"	"2"	"3"	"2"	"2"	"1"	"1"	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
1	"2"	"2"	"3"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"3"	"1"	"3"	"2"	"3"	"2"	"3"	"3"	"1"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
2	"3"	"2"	"3"	"1"	"2"	"1"	"2"	"1"	"4"	"2"	"2"	"1"	"2"	"1"	"1"	"3"	"1"	"2"	"2"	"1"	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0
1	"1"	"2"	"3"	"2"	"3"	"1"	"3"	"1"	"2"	"2"	"1"	"3"	"2"	"4"	"2"	"3"	"3"	"2"	"4"	"1"	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0
1	"3"	"2"	"3"	"1"	"3"	"2"	"2"	"1"	"4"	"4"	"3"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"4"	"1"	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0
2	"3"	"2"	"1"	"2"	"3"	"1"	"3"	"1"	"2"	"2"	"1"	"4"	"1"	"3"	"4"	"3"	"3"	"3"	"2"	"3"	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2	"3"	"4"	"3"	"4"	"3"	"1"	"4"	"1"	"4"	"2"	"3"	"1"	"3"	"4"	"1"	"4"	"3"	"1"	"4"	"1"	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0
2	"3"	"2"	"3"	"2"	"3"	"3"	"3"	"3"	"4"	"2"	"3"	"1"	"4"	"4"	"3"	"4"	"1"	"2"	"4"	"1"	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0
2	"3"	"4"	"3"	"2"	"2"	"4"	"2"	"2"	"4"	"4"	"2"	"1"	"4"	"4"	"3"	"4"	"1"	"4"	"2"	"1"	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0
2	"3"	"2"	"4"	"3"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"4"	"1"	"4"	"4"	"2"	"4"	"1"	"4"	"2"	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1
2	"2"	"2"	"1"	"3"	"1"	"1"	"3"	"2"	"2"	"2"	"1"	"4"	"2"	"4"	"3"	"2"	"2"	"2"	"1"	"1"	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
1	"3"	"2"	"3"	"2"	"3"	"3"	"3"	"2"	"2"	"2"	"2"	"4"	"2"	"2"	"3"	"2"	"3"	"1"	"2"	"1"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	"3"	"2"	"2"	"2"	"3"	"1"	"3"	"2"	"3"	"3"	"2"	"2"	"2"	"3"	"3"	"3"	"1"	"2"	"2"	"2"	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1
1	"4"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"3"	"4"	"2"	"4"	"3"	"3"	"4"	"4"	"1"	"4"	"4"	"3"	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0
2	"3"	"2"	"3"	"1"	"2"	"1"	"2"	"1"	"1"	"4"	"3"	"3"	"1"	"3"	"2"	"2"	"2"	"4"	"1"	"1"	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
2	"2"	"2"	"3"	"2"	"2"	"2"	"4"	"2"	"3"	"2"	"1"	"3"	"4"	"4"	"1"	"3"	"3"	"2"	"3"	"1"	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0
2	"3"	"2"	"3"	"3"	"3"	"1"	"3"	"1"	"4"	"2"	"1"	"4"	"3"	"4"	"2"	"2"	"3"	"2"	"4"	"3"	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0
1	"2"	"2"	"1"	"1"	"2"	"1"	"3"	"3"	"2"	"2"	"1"	"2"	"2"	"2"	"3"	"2"	"2"	"2"	"4"	"1"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
1	"2"	"2"	"3"	"2"	"4"	"2"	"2"	"2"	"4"	"2"	"1"	"4"	"1"	"1"	"1"	"4"	"2"	"4"	"1"	"1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
2	"2"	"2"	"3"	"1"	"2"	"3"	"3"	"1"	"3"	"4"	"1"	"2"	"1"	"4"	"3"	"2"	"2"	"2"	"3"	"1"	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0
2	"3"	"2"	"3"	"2"	"2"	"1"	"2"	"1"	"4"	"2"	"1"	"2"	"1"	"1"	"4"	"4"	"4"	"2"	"4"	"1"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0
2	"3"	"2"	"3"	"1"	"2"	"3"	"2"	"1"	"4"	"2"	"1"	"2"	"4"	"3"	"3"	"4"	"1"	"2"	"4"	"1"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0
2	"1"	"4"	"3"	"3"	"3"	"3"	"4"	"1"	"3"	"2"	"1"	"3"	"4"	"4"	"1"	"3"	"1"	"2"	"4"	"1"	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	0
1	"2"	"2"	"4"	"3"	"3"	"3"	"4"	"4"	"4"	"2"	"2"	"4"	"3"	"3"	"3"	"3"	"1"	"2"	"4"	"4"	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0
1	"3"	"2"	"3"	"2"	"1"	"2"	"3"	"2"	"2"	"2"	"3"	"3"	"3"	"3"	"2"	"2"	"4"	"4"	"4"	"1"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
2	"1"	"4"	"3"	"4"	"2"	"1"	"2"	"2"	"4"	"2"	"1"	"4"	"2"	"2"	"1"	"2"	"1"	"1"	"4"	"1"	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
2	"3"	"2"	"3"	"2"	"2"	"1"	"2"	"1"	"4"	"2"	"2"	"3"	"2"	"4"	"1"	"3"	"2"	"2"	"1"	"1"	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0
2	"1"	"2"	"3"	"4"	"3"	"1"	"3"	"1"	"1"	"4"	"2"	"2"	"2"	"4"	"2"	"2"	"1"	"2"	"1"	"1"	1	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0
1	"3"	"2"	"3"	"3"	"2"	"1"	"2"	"1"	"4"	"4"	"1"	"1"	"4"	"3"	"2"	"4"	"4"	"2"	"4"	"1"	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0
2	"3"	"2"	"3"	"3"	"1"	"2"	"3"	"1"	"4"	"2"	"1"	"2"	"4"	"1"	"1"	"3"	"4"	"2"	"1"	"1"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0
1	"3"	"2"	"3"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"3"	"4"	"3"	"4"	"3"	"3"	"1"	"2"	"2"	"3"	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0
1	"3"	"2"	"1"	"1"	"4"	"4"	"3"	"3"	"2"	"2"	"1"	"3"	"1"	"2"	"3"	"2"	"3"	"1"	"2"	"1"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1	"1"	"4"	"3"	"1"	"2"	"1"	"4"	"1"	"4"	"3"	"1"	"3"	"2"	"4"	"1"	"4"	"4"	"2"	"3"	"1"	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0
1	"1"	"2"	"3"	"1"	"2"	"1"	"3"	"2"	"1"	"2"	"2"	"4"	"2"	"2"	"2"	"3"	"1"	"1"	"2"	"1"	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	"1"	"2"	"2"	"1"	"3"	"2"	"3"	"2"	"1"	"2"	"1"	"2"	"3"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
1	"3"	"2"	"1"	"3"	"1"	"4"	"2"	"3"	"2"	"2"	"3"	"2"	"1"	"4"	"3"	"2"	"1"	"4"	"4"	"1"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
1	"3"	"4"	"1"	"2"	"3"	"3"	"2"	"3"	"1"	"2"	"1"	"2"	"3"	"1"	"3"	"2"	"3"	"2"	"2"	"3"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2	"3"	"2"	"3"	"3"	"3"	"1"	"3"	"1"	"3"	"2"	"3"	"4"	"2"	"4"	"1"	"1"	"2"	"2"	"2"	"3"	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0
1	"1"	"2"	"4"	"4"	"3"	"1"	"3"	"1"	"4"	"2"	"2"	"3"	"2"	"4"	"1"	"2"	"1"	"1"	"2"	"1"	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0
1	"1"	"4"	"4"	"1"	"3"	"2"	"3"	"1"	"4"	"2"	"2"	"4"	"4"	"4"	"1"	"3"	"2"	"2"	"1"	"4"	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0
1	"3"	"4"	"4"	"2"	"3"	"1"	"4"	"1"	"4"	"2"	"2"	"3"	"2"	"4"	"1"	"4"	"1"	"2"	"2"	"4"	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0
2	"2"	"2"	"3"	"1"	"1"	"1"	"2"	"1"	"3"	"2"	"1"	"2"	"4"	"4"	"3"	"3"	"3"	"4"	"2"	"1"	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0
1	"3"	"4"	"3"	"1"	"2"	"3"	"3"	"2"	"4"	"2"	"1"	"4"	"3"	"4"	"1"	"4"	"3"	"1"	"4"	"1"	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0
2	"3"	"4"	"3"	"3"	"2"	"1"	"4"	"1"	"4"	"4"	"3"	"1"	"4"	"4"	"1"	"3"	"1"	"2"	"4"	"1"	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0
2	"2"	"2"	"3"	"2"	"2"	"2"	"2"	"1"	"3"	"2"	"3"	"4"	"3"	"3"	"1"	"3"	"1"	"2"	"1"	"1"	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0
1	"2"	"3"	"2"	"3"	"2"	"3"	"1"	"4"	"2"	"3"	"2"	"3"	"1"	"2"	"2"	"3"	"1"	"4"	"2"	"3"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
1	"3"	"2"	"3"	"1"	"3"	"2"	"3"	"1"	"4"	"2"	"3"	"4"	"1"	"3"	"1"	"3"	"3"	"1"	"1"	"1"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
1	"2"	"2"	"2"	"3"	"3"	"3"	"1"	"2"	"2"	"2"	"2"	"4"	"2"	"3"	"3"	"2"	"1"	"2"	"3"	"1"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
2	"1"	"2"	"3"	"2"	"3"	"3"	"3"	"1"	"3"	"2"	"1"	"2"	"4"	"4"	"1"	"4"	"4"	"2"	"2"	"1"	1	0	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0
1	"2"	"4"	"3"	"3"	"1"	"3"	"4"	"2"	"3"	"2"	"3"	"4"	"2"	"4"	"1"	"3"	"1"	"2"	"2"	"1"	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0
1	"4"	"2"	"3"	"3"	"4"	"3"	"3"	"2"	"1"	"2"	"1"	"4"	"3"	"3"	"3"	"3"	"1"	"1"	"3"	"1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"3"	"2"	"3"	"1"	"3"	"3"	"3"	"1"	"4"	"2"	"3"	"4"	"2"	"4"	"1"	"3"	"1"	"4"	"4"	"1"	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0
